dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
1.378475330657e+03,1.425149739890e+03,1.040586522231e+03,4.372347694656e+02,2.601587470370e+02,1.445227719582e+02,8.455550671701e+01
1.413352258924e+03,1.425163295881e+03,1.040639290413e+03,4.372738819830e+02,2.601834154617e+02,1.445367696064e+02,8.456374677178e+01
1.449111611489e+03,1.425177189450e+03,1.040693379421e+03,4.373139782336e+02,2.602087047431e+02,1.445511196371e+02,8.457219428036e+01
1.485775714648e+03,1.425191428865e+03,1.040748821948e+03,4.373550828088e+02,2.602346304226e+02,1.445658308757e+02,8.458085443923e+01
1.523367459577e+03,1.425206022587e+03,1.040805651479e+03,4.373972209074e+02,2.602612084265e+02,1.445809123664e+02,8.458973257372e+01
1.561910316624e+03,1.425220979281e+03,1.040863902308e+03,4.374404183498e+02,2.602884550750e+02,1.445963733775e+02,8.459883414110e+01
1.601428349962e+03,1.425236307812e+03,1.040923609554e+03,4.374847015930e+02,2.603163870920e+02,1.446122234066e+02,8.460816473379e+01
1.641946232615e+03,1.425252017257e+03,1.040984809185e+03,4.375300977460e+02,2.603450216146e+02,1.446284721864e+02,8.461773008265e+01
1.683489261859e+03,1.425268116902e+03,1.041047538032e+03,4.375766345853e+02,2.603743762034e+02,1.446451296903e+02,8.462753606029e+01
1.726083375020e+03,1.425284616255e+03,1.041111833814e+03,4.376243405706e+02,2.604044688524e+02,1.446622061382e+02,8.463758868453e+01
1.769755165668e+03,1.425301525042e+03,1.041177735151e+03,4.376732448618e+02,2.604353179993e+02,1.446797120022e+02,8.464789412187e+01
1.814531900218e+03,1.425318853218e+03,1.041245281594e+03,4.377233773351e+02,2.604669425368e+02,1.446976580134e+02,8.465845869113e+01
1.860441534953e+03,1.425336610970e+03,1.041314513635e+03,4.377747686002e+02,2.604993618227e+02,1.447160551672e+02,8.466928886704e+01
1.907512733485e+03,1.425354808720e+03,1.041385472738e+03,4.378274500178e+02,2.605325956916e+02,1.447349147302e+02,8.468039128405e+01
1.955774884642e+03,1.425373457132e+03,1.041458201355e+03,4.378814537175e+02,2.605666644661e+02,1.447542482468e+02,8.469177274013e+01
2.005258120824e+03,1.425392567116e+03,1.041532742948e+03,4.379368126159e+02,2.606015889684e+02,1.447740675454e+02,8.470344020071e+01
2.055993336814e+03,1.425412149836e+03,1.041609142015e+03,4.379935604350e+02,2.606373905325e+02,1.447943847455e+02,8.471540080267e+01
2.108012209065e+03,1.425432216708e+03,1.041687444110e+03,4.380517317218e+02,2.606740910160e+02,1.448152122647e+02,8.472766185846e+01
2.161347215479e+03,1.425452779414e+03,1.041767695866e+03,4.381113618672e+02,2.607117128127e+02,1.448365628257e+02,8.474023086028e+01
2.216031655685e+03,1.425473849902e+03,1.041849945022e+03,4.381724871261e+02,2.607502788654e+02,1.448584494634e+02,8.475311548437e+01
2.272099671829e+03,1.425495440391e+03,1.041934240444e+03,4.382351446375e+02,2.607898126791e+02,1.448808855327e+02,8.476632359536e+01
2.329586269890e+03,1.425517563380e+03,1.042020632149e+03,4.382993724456e+02,2.608303383337e+02,1.449038847158e+02,8.477986325081e+01
2.388527341536e+03,1.425540231650e+03,1.042109171334e+03,4.383652095205e+02,2.608718804980e+02,1.449274610299e+02,8.479374270572e+01
2.448959686536e+03,1.425563458272e+03,1.042199910398e+03,4.384326957802e+02,2.609144644439e+02,1.449516288356e+02,8.480797041727e+01
2.510921035729e+03,1.425587256612e+03,1.042292902968e+03,4.385018721123e+02,2.609581160596e+02,1.449764028445e+02,8.482255504954e+01
2.574450074588e+03,1.425611640335e+03,1.042388203928e+03,4.385727803969e+02,2.610028618652e+02,1.450017981275e+02,8.483750547842e+01
2.639586467371e+03,1.425636623413e+03,1.042485869442e+03,4.386454635294e+02,2.610487290268e+02,1.450278301238e+02,8.485283079663e+01
2.706370881883e+03,1.425662220130e+03,1.042585956984e+03,4.387199654440e+02,2.610957453716e+02,1.450545146488e+02,8.486854031877e+01
