alpha,d_c_R2,d_c_R5,d_c_R10
4.541409200363e-03,8.875281749050e-02,8.729064429442e-02,8.011238385032e-02
4.665479882234e-03,8.837059107214e-02,8.663009529565e-02,7.932661276413e-02
4.792940158265e-03,8.798292504051e-02,8.596671532124e-02,7.854278548549e-02
4.923882631707e-03,8.758983471602e-02,8.530066929219e-02,7.776106283210e-02
5.058402435719e-03,8.719133908935e-02,8.463212351642e-02,7.698160217085e-02
5.196597302486e-03,8.678746087171e-02,8.396124549219e-02,7.620455732633e-02
5.338567634224e-03,8.637822653946e-02,8.328820371061e-02,7.543007849747e-02
5.484416576121e-03,8.596366637311e-02,8.261316745797e-02,7.465831218191e-02
5.634250091280e-03,8.554381449018e-02,8.193630661824e-02,7.388940110837e-02
5.788177037701e-03,8.511870887193e-02,8.125779147636e-02,7.312348417657e-02
5.946309247369e-03,8.468839138363e-02,8.057779252276e-02,7.236069640489e-02
6.108761607505e-03,8.425290778818e-02,7.989648025956e-02,7.160116888540e-02
6.275652144031e-03,8.381230775292e-02,7.921402500902e-02,7.084502874624e-02
6.447102107324e-03,8.336664484951e-02,7.853059672458e-02,7.009239912110e-02
6.623236060302e-03,8.291597654667e-02,7.784636480495e-02,6.934339912558e-02
6.804181968927e-03,8.246036419575e-02,7.716149791182e-02,6.859814384043e-02
6.990071295173e-03,8.199987300899e-02,7.647616379125e-02,6.785674430109e-02
7.181039092537e-03,8.153457203042e-02,7.579052909954e-02,6.711930749378e-02
7.377224104160e-03,8.106453409931e-02,7.510475923352e-02,6.638593635740e-02
7.578768863626e-03,8.058983580634e-02,7.441901816592e-02,6.565672979144e-02
7.785819798517e-03,8.011055744220e-02,7.373346828590e-02,6.493178266941e-02
7.998527336797e-03,7.962678293898e-02,7.304827024515e-02,6.421118585754e-02
8.217046016101e-03,7.913859980416e-02,7.236358280970e-02,6.349502623867e-02
8.441534596013e-03,7.864609904747e-02,7.167956271782e-02,6.278338674085e-02
8.672156173405e-03,7.814937510061e-02,7.099636454403e-02,6.207634637058e-02
8.909078300934e-03,7.764852573011e-02,7.031414056953e-02,6.137398025030e-02
9.152473108774e-03,7.714365194334e-02,6.963304065912e-02,6.067635965998e-02
9.402517429670e-03,7.663485788807e-02,6.895321214482e-02,5.998355208245e-02
9.659392927415e-03,7.612225074557e-02,6.827479971616e-02,5.929562125231e-02
