t_over_theta,r
3.966598329916e+00,9.264692488259e-01
3.966998349917e+00,9.264935859886e-01
3.967398369918e+00,9.265179146850e-01
3.967798389919e+00,9.265422348876e-01
3.968198409920e+00,9.265665465695e-01
3.968598429921e+00,9.265908497045e-01
3.968998449922e+00,9.266151442666e-01
3.969398469923e+00,9.266394302306e-01
3.969798489924e+00,9.266637075720e-01
3.970198509925e+00,9.266879762667e-01
3.970598529926e+00,9.267122362912e-01
3.970998549927e+00,9.267364876227e-01
3.971398569928e+00,9.267607302389e-01
3.971798589929e+00,9.267849641182e-01
3.972198609930e+00,9.268091892395e-01
3.972598629931e+00,9.268334055823e-01
3.972998649932e+00,9.268576131270e-01
3.973398669933e+00,9.268818118543e-01
3.973798689934e+00,9.269060017456e-01
3.974198709935e+00,9.269301827831e-01
3.974598729936e+00,9.269543549493e-01
3.974998749937e+00,9.269785182277e-01
3.975398769938e+00,9.270026726022e-01
3.975798789939e+00,9.270268180574e-01
3.976198809940e+00,9.270509545785e-01
3.976598829941e+00,9.270750821514e-01
3.976998849942e+00,9.270992007629e-01
3.977398869943e+00,9.271233104002e-01
3.977798889944e+00,9.271474110513e-01
3.978198909945e+00,9.271715027048e-01
3.978598929946e+00,9.271955853499e-01
3.978998949947e+00,9.272196589767e-01
3.979398969948e+00,9.272437235756e-01
3.979798989949e+00,9.272677791382e-01
3.980199009950e+00,9.272918256562e-01
3.980599029951e+00,9.273158631224e-01
3.980999049952e+00,9.273398915302e-01
3.981399069953e+00,9.273639108735e-01
3.981799089954e+00,9.273879211471e-01
3.982199109955e+00,9.274119223463e-01
3.982599129956e+00,9.274359144673e-01
3.982999149957e+00,9.274598975067e-01
3.983399169958e+00,9.274838714620e-01
3.983799189959e+00,9.275078363314e-01
3.984199209960e+00,9.275317921136e-01
3.984599229961e+00,9.275557388082e-01
3.984999249962e+00,9.275796764153e-01
3.985399269963e+00,9.276036049358e-01
3.985799289964e+00,9.276275243713e-01
3.986199309965e+00,9.276514347241e-01
3.986599329966e+00,9.276753359970e-01
3.986999349967e+00,9.276992281936e-01
3.987399369968e+00,9.277231113184e-01
3.987799389969e+00,9.277469853762e-01
3.988199409970e+00,9.277708503728e-01
3.988599429971e+00,9.277947063145e-01
3.988999449972e+00,9.278185532082e-01
3.989399469973e+00,9.278423910618e-01
3.989799489974e+00,9.278662198835e-01
3.990199509975e+00,9.278900396824e-01
3.990599529976e+00,9.279138504682e-01
3.990999549977e+00,9.279376522513e-01
3.991399569978e+00,9.279614450426e-01
3.991799589979e+00,9.279852288538e-01
3.992199609980e+00,9.280090036972e-01
3.992599629981e+00,9.280327695858e-01
3.992999649982e+00,9.280565265330e-01
3.993399669983e+00,9.280802745530e-01
3.993799689984e+00,9.281040136607e-01
3.994199709985e+00,9.281277438716e-01
3.994599729986e+00,9.281514652019e-01
3.994999749987e+00,9.281751776685e-01
3.995399769988e+00,9.281988812887e-01
3.995799789989e+00,9.282225760805e-01
3.996199809990e+00,9.282462620625e-01
3.996599829991e+00,9.282699392539e-01
3.996999849993e+00,9.282936076747e-01
3.997399869993e+00,9.283172673451e-01
3.997799889994e+00,9.283409182862e-01
3.998199909995e+00,9.283645605196e-01
3.998599929996e+00,9.283881940675e-01
3.998999949998e+00,9.284118189525e-01
3.999399969999e+00,9.284354351981e-01
3.999799990000e+00,9.284590428280e-01
4.000200010001e+00,9.284826418667e-01
4.000600030002e+00,9.285062323392e-01
4.001000050003e+00,9.285298142709e-01
4.001400070004e+00,9.285533876879e-01
4.001800090005e+00,9.285769526168e-01
4.002200110006e+00,9.286005090846e-01
4.002600130006e+00,9.286240571190e-01
4.003000150008e+00,9.286475967481e-01
4.003400170009e+00,9.286711280005e-01
4.003800190010e+00,9.286946509053e-01
4.004200210011e+00,9.287181654921e-01
4.004600230012e+00,9.287416717910e-01
4.005000250013e+00,9.287651698325e-01
4.005400270014e+00,9.287886596477e-01
4.005800290015e+00,9.288121412679e-01
4.006200310016e+00,9.288356147252e-01
4.006600330017e+00,9.288590800519e-01
4.007000350018e+00,9.288825372806e-01
4.007400370019e+00,9.289059864448e-01
4.007800390020e+00,9.289294275778e-01
4.008200410021e+00,9.289528607138e-01
4.008600430022e+00,9.289762858872e-01
4.009000450023e+00,9.289997031326e-01
4.009400470024e+00,9.290231124852e-01
4.009800490025e+00,9.290465139805e-01
4.010200510026e+00,9.290699076545e-01
4.010600530027e+00,9.290932935433e-01
4.011000550028e+00,9.291166716837e-01
4.011400570029e+00,9.291400421125e-01
4.011800590030e+00,9.291634048669e-01
4.012200610031e+00,9.291867599844e-01
4.012600630032e+00,9.292101075031e-01
4.013000650033e+00,9.292334474610e-01
4.013400670034e+00,9.292567798965e-01
4.013800690035e+00,9.292801048484e-01
4.014200710036e+00,9.293034223557e-01
4.014600730037e+00,9.293267324576e-01
4.015000750038e+00,9.293500351936e-01
4.015400770039e+00,9.293733306034e-01
4.015800790040e+00,9.293966187270e-01
4.016200810041e+00,9.294198996046e-01
4.016600830042e+00,9.294431732764e-01
4.017000850043e+00,9.294664397831e-01
4.017400870044e+00,9.294896991654e-01
4.017800890045e+00,9.295129514643e-01
4.018200910046e+00,9.295361967208e-01
4.018600930047e+00,9.295594349762e-01
4.019000950048e+00,9.295826662718e-01
4.019400970049e+00,9.296058906493e-01
4.019800990050e+00,9.296291081502e-01
4.020201010051e+00,9.296523188163e-01
4.020601030052e+00,9.296755226896e-01
4.021001050053e+00,9.296987198120e-01
4.021401070054e+00,9.297219102256e-01
4.021801090055e+00,9.297450939725e-01
4.022201110056e+00,9.297682710949e-01
4.022601130057e+00,9.297914416352e-01
4.023001150058e+00,9.298146056355e-01
4.023401170059e+00,9.298377631384e-01
4.023801190060e+00,9.298609141861e-01
4.024201210061e+00,9.298840588210e-01
4.024601230062e+00,9.299071970856e-01
4.025001250063e+00,9.299303290222e-01
4.025401270064e+00,9.299534546732e-01
4.025801290065e+00,9.299765740809e-01
4.026201310066e+00,9.299996872877e-01
4.026601330067e+00,9.300227943356e-01
4.027001350068e+00,9.300458952670e-01
4.027401370069e+00,9.300689901238e-01
4.027801390070e+00,9.300920789481e-01
4.028201410071e+00,9.301151617818e-01
4.028601430072e+00,9.301382386665e-01
4.029001450073e+00,9.301613096440e-01
4.029401470074e+00,9.301843747559e-01
4.029801490075e+00,9.302074340439e-01
4.030201510076e+00,9.302304875492e-01
4.030601530077e+00,9.302535353130e-01
4.031001550078e+00,9.302765773764e-01
4.031401570079e+00,9.302996137802e-01
4.031801590080e+00,9.303226445650e-01
4.032201610081e+00,9.303456697715e-01
4.032601630082e+00,9.303686894398e-01
4.033001650083e+00,9.303917036101e-01
4.033401670084e+00,9.304147123222e-01
4.033801690085e+00,9.304377156158e-01
4.034201710086e+00,9.304607135302e-01
4.034601730087e+00,9.304837061047e-01
4.035001750088e+00,9.305066933781e-01
4.035401770089e+00,9.305296753891e-01
4.035801790090e+00,9.305526521759e-01
4.036201810091e+00,9.305756237768e-01
4.036601830092e+00,9.305985902295e-01
4.037001850093e+00,9.306215515715e-01
4.037401870094e+00,9.306445078399e-01
4.037801890095e+00,9.306674590716e-01
4.038201910096e+00,9.306904053032e-01
4.038601930097e+00,9.307133465708e-01
4.039001950098e+00,9.307362829103e-01
4.039401970099e+00,9.307592143572e-01
4.039801990100e+00,9.307821409466e-01
4.040202010101e+00,9.308050627134e-01
4.040602030102e+00,9.308279796919e-01
4.041002050103e+00,9.308508919162e-01
4.041402070104e+00,9.308737994199e-01
4.041802090105e+00,9.308967022362e-01
4.042202110106e+00,9.309196003980e-01
4.042602130107e+00,9.309424939376e-01
4.043002150108e+00,9.309653828871e-01
4.043402170109e+00,9.309882672781e-01
4.043802190110e+00,9.310111471416e-01
4.044202210111e+00,9.310340225083e-01
