R_m,alpha,tension_Pa,compression_Pa
9.494881765433e+00,1.796989148533e-05,0.000000000000e+00,6.203192325138e+06
1.001381565354e+01,1.796989148533e-05,0.000000000000e+00,5.840789029107e+06
1.056111138827e+01,1.796989148533e-05,0.000000000000e+00,5.499538138211e+06
1.113831905982e+01,1.796989148533e-05,0.000000000000e+00,5.178205350702e+06
1.174707347714e+01,1.796989148533e-05,0.000000000000e+00,4.875628399685e+06
1.238909879816e+01,1.796989148533e-05,0.000000000000e+00,4.590712849224e+06
1.306621341299e+01,1.796989148533e-05,0.000000000000e+00,4.322428135760e+06
1.378033509421e+01,1.796989148533e-05,0.000000000000e+00,4.069803840525e+06
1.453348642843e+01,1.796989148533e-05,0.000000000000e+00,3.831926179471e+06
1.532780054486e+01,1.796989148533e-05,0.000000000000e+00,3.607934698018e+06
1.616552715688e+01,1.796989148533e-05,0.000000000000e+00,3.397019158664e+06
1.704903893387e+01,1.796989148533e-05,0.000000000000e+00,3.198416610203e+06
1.798083822122e+01,1.796989148533e-05,0.000000000000e+00,3.011408627950e+06
1.896356412767e+01,1.796989148533e-05,0.000000000000e+00,2.835318714992e+06
2.000000000000e+01,1.796989148533e-05,0.000000000000e+00,2.669509855063e+06
7.000000000000e-01,2.080567538217e-05,1.422804068508e+07,1.182213990949e+08
7.382578457164e-01,2.080567538217e-05,1.292042263100e+07,1.113216598742e+08
7.786066382311e-01,2.080567538217e-05,1.171743933446e+07,1.048245784595e+08
8.211606562871e-01,2.080567538217e-05,1.061135933337e+07,9.870665643156e+07
8.660404244251e-01,2.080567538217e-05,9.594991768119e+06,9.294576670081e+07
9.133730543420e-01,2.080567538217e-05,8.661650189346e+06,8.752107347881e+07
9.632926049056e-01,2.080567538217e-05,7.805118699362e+06,8.241295692010e+07
1.015940461846e+00,2.080567538217e-05,7.019620281784e+06,7.760294216187e+07
1.071465738198e+00,2.080567538217e-05,6.299787182850e+06,7.307363250468e+07
1.130025696630e+00,2.080567538217e-05,5.640633216064e+06,6.880864649270e+07
1.191786194854e+00,2.080567538217e-05,5.037527869593e+06,6.479255866584e+07
1.256922155382e+00,2.080567538217e-05,4.486172103165e+06,6.101084376942e+07
